cds_code,school,street,city,state,zip
37768516147458,Academia de Talar,31430 Calle de Talar,Bonsall,CA,92003
,Academy of Future Men,5444 Mandarin Cove,San Diego,CA,92115
37683386938757,Academy of Our Lady of Peace,4860 Oregon Street,San Diego,CA,92116
,"Accelerated Academics, Inc.","6120 Paseo Del North, Suite L1",Carlsbad,CA,92011
37756146147474,Agnus Dei Academy,30639 Rabbit Run,Valley Center,CA,92082
37683386975262,All Hallows Academy,2390 Nautilus Street,La Jolla,CA,92037
37681146132880,Alpha and Omega Academy,135 East Ivy Street,Fallbrook,CA,92028
37735516938799,Army and Navy Academy,2605 Carlsbad Boulevard,Carlsbad,CA,92008
37680986999262,Ascension Lutheran School,1140 N. Midway Drive,Escondido,CA,92027
37683386975270,Aseltine School,4027 Normal Street,San Diego,CA,92103
37680987077357,Balboa School,130 Woodward Avenue,Escondido,CA,92025
37735516999270,Beautiful Saviour Lutheran School,3030 Valley Street,Carlsbad,CA,92008
37680236132906,Berean Bible Baptist Academy,"881 Kuhn Drive, Suite 102",Chula Vista,CA,91914
37682136206130,Berean Christian Academy,23663 Viejas Grade Road,Descanso,CA,91916
,Berkshire Technical Academy,1951 Rachelle Place,Escondido,CA,92025
37683386148894,Beta-Selam Academy,6429 Imperial Avenue,San Diego,CA,92114
37682216146260,Bethel Academy,1200 East 8th Street,National City,CA,91950
37684526147797,Big Tree Little Preschool Kindergarten,1600 Buena Vista Drive,Vista,CA,92081
37683386938815,"Bishop's School, The",7607 La Jolla Boulevard,La Jolla,CA,92037
37683386975296,Blessed Sacrament Elementary,4551 56th Street,San Diego,CA,92115
37680237095854,Bonita Christian School,482 L Street,Chula Vista,CA,91911
37680237031255,Bonita Country Day School,625 Otay Lakes Road,Chula Vista,CA,91913
37680236139638,Bonita Learning Academy,3368 Bonita Road,Chula Vista,CA,91910
,Bridgeway Academy,3135 Canyon Street,Carlsbad,PA,92008
37683386141774,Brookshire International Academy,"3295 Market Street, Suite 200",San Diego,CA,92102
37680237031289,Calvary Christian Academy,1771 East Palomar Street,Chula Vista,CA,91913
37680986140925,Calvary Preparatory Academy,1675 Seven Oakes Road,Escondido,CA,92026
37681146130959,Canyon Ridge Christian Prep,1200 Rainbow Valley Boulevard,Fallbrook,CA,92028
37683466939458,Cathedral Catholic High School,5555 Del Mar Heights Road,San Diego,CA,92130
37683386932214,Chabad Hebrew Academy,10785 Pomerado Road,San Diego,CA,92131
37683386918072,Children's Creative and Performing Arts,3051 El Cajon Boulevard,San Diego,CA,92104
37683386987960,Children's Workshop,4055 Camino del Rio South,San Diego,CA,92108
37683386927586,"Child's Primary, The",3811 Mt. Acadia Boulevard,San Diego,CA,92111
37680316980924,Christ Church Day School,1114 Ninth  Avenue,Coronado,CA,92118
37681976965503,Christ Lutheran Elementary,7929 La Mesa Boulevard,La Mesa,CA,91942
37683386910194,Christ the Cornerstone Lutheran Academy,9028 Westmore Road,San Diego,CA,92126
37684116148795,Christa McAuliffe Academy School of arts and Sciences,484 Vista Place,Chula Vista,CA,91910
37679916904981,Christian Elementary East,2100 Greenfield Drive,El Cajon,CA,92019
37681306938849,Christian Junior/Senior High,2100 Greenfield Drive,El Cajon,CA,92019
37680987081813,Christian Life Academy,"2081 Bear Valley Parkway, Suite B220",Escondido,CA,92027
37683386902902,City Tree Christian,320 Date Street,San Diego,CA,92101
37683380127811,Community School of San Diego,4764 Santa Monica Avenue,San Diego,ca,92107
37683380133421,Community School of San Diego High School,1984 Sunset Cliffs Boulevard,San Diego,CA,92107
37683380110809,"Comprehensive Ed Svs, DBA: Aces Academy",3715 6th Avenue,San Diego,CA,92103
37683387079817,Cook Education Center,2255 Camino del Rio South,San Diego,CA,92108
37683387083637,Cooperative Learning Center,4630 Mission Avenue,San Diego,CA,92116
37680236999312,Covenant Christian,505 East Naples Street,Chula Vista,CA,91911
37680566131718,Del Mar Montessori,2293 Del Mar Heights Road,Del Mar,CA,92014
37683876905061,Del Mar Pines School,3975 Torrington Street,San Diego,CA,92130
37735696148019,Discovery Isle,3791 Oceanic Way,Oceanside,CA,92056
37682966131783,Discovery Isle Child Development Center,14521 Ted Williams Parkway,Poway,CA,92064
37737917095144,Discovery Isle Child Development Center,"1655 South Ranch Santa Fe Road, Suite 101",San Marcos,CA,92078
37680807077217,Edison Academy,910 Encinitas Boulevard,Encinitas,CA,92024
